用語,科目,出題回数（11回中）,解説
水象,一般知識,1,水象は、気象または地震に密接に関連する陸水・海洋の諸現象をいう。洪水、波浪、高潮、津波などとの法令上の扱いを確認する。
水防法,一般知識,1,水防法は、洪水、雨水出水、津波、高潮による水害を防止・軽減するための法律である。指定河川洪水予報や水防警報などを定める。
海氷,一般知識,1,海氷は、海水が凍結して海面を覆う氷である。面積の変化はアルベドや海洋と大気の熱交換に影響する。
消防法,一般知識,1,消防法は、火災の予防、警戒、鎮圧などを定める法律である。火災気象通報と市町村長が発する火災警報の関係が問われる。
滑昇霧,一般知識,1,滑昇霧は、湿った空気が斜面に沿って上昇し、断熱冷却されて生じる霧である。風上側の山地で発生しやすい。
火災気象通報,一般知識,1,火災気象通報は、火災の予防上危険な気象状況が予想されるとき、気象官署から都道府県知事へ行う通報である。市町村長の火災警報とは別の制度である。
熱力学第一法則,一般知識,1,熱力学第一法則は、加えられた熱量が内部エネルギーの変化と外部への仕事に分配されることを表す。断熱変化や乾燥断熱減率の導出に使われる。
熱帯低気圧,一般知識,1,熱帯低気圧は、暖かい海上で発達する暖気核をもつ低気圧である。前線を伴わず、積雲対流に伴う潜熱放出を主なエネルギー源とする。
理想気体,一般知識,1,理想気体は、分子の体積や分子間力を無視した気体モデルである。通常の大気は状態方程式を用いる範囲で理想気体に近似できる。
発散,一般知識,1,発散は、水平風によって空気が周囲へ広がる状態である。上層発散は下層からの空気流入と上昇流を支え、地上低気圧の発達に関係する。
相対渦度,一般知識,1,相対渦度は、地球に固定した座標系から見た空気の回転を表す。北半球では反時計回りを正とする。
移流霧,一般知識,1,移流霧は、暖湿な空気が冷たい地表面や海面上へ移流して冷却されることで生じる霧である。ある程度の風がある場合に形成されやすい。
突風,一般知識,1,突風は、短時間に急激に強まる風である。竜巻、ダウンバースト、ガストフロントなどが原因となる。
竜巻,一般知識,1,竜巻は、積乱雲などに伴って地表面から雲底まで伸びる強い鉛直渦である。被害域では収束性・回転性の風向分布が現れやすい。
等温位面,一般知識,1,等温位面は、温位が等しい地点を結んだ面である。断熱的な空気運動や成層の安定度を考える際に用いる。
絶対渦度,一般知識,1,絶対渦度は、相対渦度と惑星渦度の和である。摩擦などが小さい大規模運動では、その保存が流れの変化を説明する。
緊急安全確保措置,一般知識,1,緊急安全確保措置は、立退き避難がかえって危険な切迫状況で、命を守るために直ちに取る行動である。市町村長は必要な居住者等へ指示できる。
自由対流高度,一般知識,1,自由対流高度は、持ち上げられた空気塊が周囲より暖かくなり、正の浮力で自力上昇を始める高度である。持ち上げ凝結高度とは一致するとは限らない。
表面張力,一般知識,1,表面張力は、液体表面を小さくしようとする力である。小さな水滴ほど曲率の効果で平衡水蒸気圧が高くなり、凝結成長しにくい。
角運動量保存則,一般知識,1,角運動量保存則は、外力のトルクがなければ回転軸まわりの角運動量が保存される法則である。南北移動する空気塊の東西風速変化に用いる。
赤外放射,一般知識,1,赤外放射は、可視光より波長が長い電磁波領域の放射である。地球放射の主要部分を占め、温室効果気体に選択的に吸収される。
連続の式,一般知識,1,連続の式は、流体の質量保存を表す関係式である。水平収束と鉛直流、密度変化などの結び付きを示す。
適中率,一般知識,1,適中率は、予報と実況が一致した事例の割合である。発生頻度が偏る現象では、この指標だけで予報性能を判断しにくい。
鉛直シアー,一般知識,1,鉛直シアーは、風向または風速が高度とともに変化する度合いである。対流系の組織化や温度移流、乱気流の判断に重要である。
防災業務計画,一般知識,1,防災業務計画は、指定行政機関や指定公共機関が所掌事務について作成する防災計画である。地域防災計画とは作成主体が異なる。
陸風,一般知識,1,陸風は、夜間に冷えた陸上から相対的に暖かい海上へ吹く風である。一般に海風より弱く、循環も浅い。
雲凝結核,一般知識,1,雲凝結核は、水蒸気が凝結して雲粒を作る際の核となる粒子である。吸湿性粒子は比較的低い過飽和度でも雲粒を形成しやすい。
霧,一般知識,1,霧は、微小な水滴などが空気中に浮遊し、水平視程が1km未満となる現象である。地表に接した層雲ともみなせる。
風向風速計,一般知識,1,風向風速計は、風向と風速を測定する測器である。風車型ではプロペラと尾翼などを用いて両者を求める。
黒体放射,一般知識,1,黒体放射は、入射する放射をすべて吸収する理想的な物体が温度に応じて放出する放射である。放射量と波長分布は温度だけで決まる。
予報,専門知識,11,予報は、気象業務法では観測の成果に基づく現象の予想を発表することをいう。内部利用だけの予想と、不特定または多数への発表を区別する。
台風,専門知識,11,台風は、北西太平洋または南シナ海に存在し、最大風速が所定の基準以上となった熱帯低気圧である。進路、強度、暴風域などの情報が発表される。
気圧,専門知識,11,気圧は、大気が単位面積に及ぼす力である。高度が上がるほど上にある空気の質量が減るため、通常は低下する。
気温,専門知識,11,気温は大気の温度を表す気象要素である。観測では日射や地面の影響を避け、通風された環境で測定する。
気象,専門知識,11,気象業務法上の気象は、電離層を除く大気の諸現象をいう。気圧、気温、風、雲などが含まれる。
観測,専門知識,11,観測は、気象業務法では自然科学的方法による現象の観察および測定をいう。単なる目視だけでなく、測器による測定も含む。
降水,専門知識,11,降水は、雨、雪、あられ、ひょうなどが大気中から落下する現象またはその生成物である。液体と固体の両方を含む。
電波,専門知識,11,電波は、電磁波のうち通信やレーダー観測などに用いられる波長域である。気象観測では散乱、反射、屈折、減衰の性質を利用する。
メソモデル,専門知識,10,メソモデルは、日本周辺のメソスケール現象を対象とする高解像度の領域数値予報モデルである。降水や風の短時間予測に利用される。
数値予報,専門知識,10,数値予報は、大気の状態を表す方程式を計算機で時間積分して将来を予測する方法である。初期値、解像度、物理過程などが予測精度に影響する。
数値予報モデル,専門知識,10,数値予報モデルは、大気の運動や熱力学過程を格子上で計算する仕組みである。対象領域と格子間隔に応じて全球、メソ、局地モデルなどがある。
ウィンドプロファイラ,専門知識,9,ウィンドプロファイラは、上空へ電波を発射し、散乱波のドップラー偏移から風向・風速を測る装置である。降水粒子の影響や観測可能高度に注意する。
全球モデル,専門知識,9,全球モデルは、地球全体を計算対象とする数値予報モデルである。中期予報や領域モデルの境界値作成に利用される。
格子点,専門知識,9,格子点は、数値予報モデルで気温、風、気圧などの値を配置する計算点である。連続する実大気を有限個の値で表現する。
積乱雲,専門知識,9,積乱雲は、強い上昇流によって鉛直に発達する対流雲である。雷、短時間強雨、ひょう、突風などを伴う。
解析雨量,専門知識,9,解析雨量は、気象レーダーの面的観測を雨量計で補正して作成する降水量分布である。実況監視や防災指数の入力に利用される。
ドップラーレーダー,専門知識,8,ドップラーレーダーは、反射波の周波数変化から降水粒子の視線方向速度を測るレーダーである。風の収束や回転の検出に利用される。
パラメタリゼーション,専門知識,8,パラメタリゼーションは、格子より小さく直接計算できない物理過程を格子点の量から近似する方法である。積雲対流、乱流、放射などに用いる。
初期値,専門知識,8,初期値は、数値予報を開始する時刻の三次元的な大気状態である。観測と第一推定値をデータ同化して作成する。
気象レーダー,専門知識,8,気象レーダーは、電波を送信し降水粒子などからの反射波を受信して降水を観測する装置である。反射強度から降水の分布や強さを推定する。
洪水警報,専門知識,8,洪水警報は、河川の増水や氾濫による重大な洪水害のおそれがある場合に発表される。流域雨量指数などが基準に用いられる。
海面水温,専門知識,8,海面水温は、海洋表面付近の水温である。熱帯低気圧の発達、海霧、季節予報、海洋と大気の相互作用に関係する。
赤外画像,専門知識,8,赤外画像は、雲や地表面が放出する赤外放射を放射温度として表す衛星画像である。昼夜を問わず利用でき、雲頂温度の推定に用いる。
降水量,専門知識,8,降水量は、一定時間の降水を地表の水平面にたまった水の深さに換算した量である。雪などの固体降水は融かした水の深さで表す。
アンサンブル予報,専門知識,7,アンサンブル予報は、初期値やモデル条件を少しずつ変えた複数の予報を行う手法である。予測の幅や確率、不確実性を評価する。
中心気圧,専門知識,7,中心気圧は、低気圧や台風の中心付近で解析される気圧である。台風の強さの階級は中心気圧ではなく最大風速で決まる。
可視画像,専門知識,7,可視画像は、太陽光が雲や地表面で反射した強さを示す衛星画像である。昼間だけ利用でき、雲の厚さや表面の反射率が明るさに影響する。
地上気象観測,専門知識,7,地上気象観測は、地上の気圧、気温、湿度、風、降水、視程などを測る観測である。測器の設置条件や統計値の定義も重要となる。
寒冷前線,専門知識,7,寒冷前線は、寒気が暖気側へ進み、暖気を押し上げる前線である。比較的狭い範囲に対流雲や強い降水を伴うことがある。
対流圏,専門知識,7,対流圏は地表から対流圏界面までの大気層で、気温は平均的に高度とともに低下する。雲や降水など日常の気象現象の大部分が生じる。
対流圏界面,専門知識,7,対流圏界面は対流圏と成層圏の境界で、気温減率によって定義される。一般に低緯度ほど高く、気温も低い。
平年偏差,専門知識,7,平年偏差は、観測値や解析値から平年値を引いた差である。正負によって平年より高い・多い、または低い・少ないことを示す。
散乱,専門知識,7,散乱は、電磁波が粒子や密度の揺らぎによって進行方向を変える現象である。衛星、レーダー、放射収支の各分野で現れる。
格子間隔,専門知識,7,格子間隔は、隣り合う格子点の距離で、モデルの水平解像度の目安となる。間隔より十分小さい現象は直接表現できない。
アメダス,専門知識,6,アメダスは、降水量、気温、風向・風速、日照時間などを自動観測する地域気象観測システムである。観測要素は観測所によって異なる。
メンバー,専門知識,6,メンバーは、アンサンブル予報を構成する個々の予測である。各メンバーの分布から確率やスプレッドを求める。
上昇流,専門知識,6,上昇流は、空気が上向きに移動する流れである。上昇する空気は膨張して冷却され、飽和すれば雲や降水を生じる。
太平洋高気圧,専門知識,6,太平洋高気圧は、北太平洋に広がる亜熱帯高気圧である。日本の夏の天候に影響し、縁辺では暖湿気が流入しやすい。
局地モデル,専門知識,6,局地モデルは、メソモデルより狭い領域を細かな格子で計算する数値予報モデルである。局地的な降水や風の予測を目的とする。
水蒸気画像,専門知識,6,水蒸気画像は、主に対流圏中・上層の水蒸気からの放射を表す衛星画像である。明域と暗域から上・中層の湿潤域と乾燥域を把握する。
洪水,専門知識,6,洪水は、河川の水位や流量が著しく増加し、氾濫などのおそれが生じる現象である。気象警報、洪水予報、水防活動の対象となる。
海面気圧,専門知識,6,海面気圧は、観測地点の気圧を平均海面の高さへ更正した値である。標高の異なる地点どうしの気圧分布を比較するために用いる。
温帯低気圧,専門知識,6,温帯低気圧は、中緯度の水平温度傾度をエネルギー源として発達する低気圧である。温暖前線や寒冷前線を伴う。
積雪,専門知識,6,積雪は、雪やあられなどの固体降水が地面を半分以上覆っている状態である。積雪の深さは地面から雪面までの鉛直距離で測る。
積雲対流,専門知識,6,積雲対流は、浮力によって発達する積雲・積乱雲に伴う鉛直輸送である。粗い格子のモデルではパラメタリゼーションで表現される。
霧,専門知識,6,霧は、微小な水滴などが空気中に浮遊し、水平視程が1km未満となる現象である。地表に接した層雲ともみなせる。
エルニーニョ現象,専門知識,5,エルニーニョ現象は、太平洋赤道域中部から東部の海面水温が平年より高い状態が続く現象である。ウォーカー循環や世界各地の天候へ影響する。
オホーツク海高気圧,専門知識,5,オホーツク海高気圧は、暖候期にオホーツク海付近へ現れる高気圧である。日本の太平洋側へ冷湿な北東気流をもたらすことがある。
ジェット気流,専門知識,5,ジェット気流は、対流圏上部付近にある強い西風の帯である。寒帯前線ジェットと亜熱帯ジェットが代表的である。
スレットスコア,専門知識,5,スレットスコアは、予報または実況で現象があった事例のうち、予報と実況がともに発生だった割合である。現象なしの適中は計算に含めない。
上層雲,専門知識,5,上層雲は、対流圏の高い高度に雲底をもつ雲の総称である。巻雲、巻層雲、巻積雲が含まれ、氷晶を主成分とすることが多い。
下降流,専門知識,5,下降流は、空気が下向きに移動する流れである。下降する空気は圧縮されて昇温するが、降水粒子の蒸発や融解によって冷却される場合もある。
予測式,専門知識,5,予測式は、数値予報の説明変数から目的とする予報要素を算出する統計式である。係数は過去の予測値と実況値から求める。
前線,専門知識,5,前線は、性質の異なる気団の境界付近に形成される遷移帯である。気温、湿度、風、雲・降水の変化を伴う。
収束,専門知識,5,収束は、水平風によって空気が周囲から集まる状態である。質量保存により、下層の収束域では上昇流が生じやすい。
垂直偏波,専門知識,5,垂直偏波は、電界が鉛直方向に振動する電波である。二重偏波レーダーでは水平偏波と組み合わせて利用する。
大雨警報,専門知識,5,大雨警報は、大雨による重大な土砂災害または浸水害のおそれがある場合に発表される。土壌雨量指数や表面雨量指数などを基準に用いる。
天気予報ガイダンス,専門知識,5,天気予報ガイダンスは、数値予報値を統計的に補正し、気温や降水確率などの予報要素へ変換する資料である。系統誤差の軽減に役立つ。
強風軸,専門知識,5,強風軸は、周囲より風速の強い領域の中心線である。ジェット気流や上層雲の走向、温度傾度との対応を読む。
気温ガイダンス,専門知識,5,気温ガイダンスは、数値予報の出力を統計的に補正して地点の気温を予測する資料である。モデル地形や系統誤差の影響を軽減できる。
気象衛星画像,専門知識,5,気象衛星画像は、衛星から観測した放射を用いて雲や水蒸気、地表面の状態を広域に示す画像である。可視、赤外、水蒸気画像で見ている物理量が異なる。
水平偏波,専門知識,5,水平偏波は、電界が水平方向に振動する電波である。垂直偏波との反射特性の差から降水粒子の形状を推定する。
流域雨量指数,専門知識,5,流域雨量指数は、流域へ降った雨が河川へ集まり流下する過程を計算した指数である。洪水警報の基準や洪水キキクルに使われる。
温暖前線,専門知識,5,温暖前線は、暖気が寒気側へ進み、寒気の上を緩やかに滑昇する前線である。前面に層状雲と広い降水域が生じやすい。
突風,専門知識,5,突風は、短時間に急激に強まる風である。竜巻、ダウンバースト、ガストフロントなどが原因となる。
等圧面,専門知識,5,等圧面は、気圧が同じ地点を結んでできる三次元の面である。高層天気図では、その面の高度や気温、風などを表示する。
見逃し率,専門知識,5,見逃し率は、現象が発生したのに発生しないと予報した事例の割合である。分母の定義が全予報数か実況発生数かを問題文で確認する。
警報,専門知識,5,警報は、重大な災害が起こるおそれがある場合に気象庁が発表する情報である。種類、発表区域、通知経路が法令で定められる。
適中率,専門知識,5,適中率は、予報と実況が一致した事例の割合である。発生頻度が偏る現象では、この指標だけで予報性能を判断しにくい。
降水短時間予報,専門知識,5,降水短時間予報は、解析雨量と数値予報を組み合わせて数時間先までの降水分布を予測する。予報時間に応じて実況外挿とモデルの比重が変わる。
降雪,専門知識,5,降雪は、雪が降る現象または一定期間に新たに積もった雪をいう。降雪の深さと積雪の深さは異なる観測量である。
カルマンフィルタ,専門知識,4,カルマンフィルタは、予測と観測を誤差の大きさに応じて逐次更新する推定手法である。ガイダンスでは予測式の係数更新にも利用される。
メソアンサンブル予報,専門知識,4,メソアンサンブル予報は、メソモデルを基に複数の予測を実行するアンサンブル予報である。局地的な大雨などの発生可能性評価に利用する。
ラジオゾンデ,専門知識,4,ラジオゾンデは、気球で上昇しながら気圧、気温、湿度などを測る高層観測器である。位置情報の時間変化から上空の風も求める。
信頼度,専門知識,4,信頼度は、週間天気予報で予報の変わりにくさなどを段階で示す情報である。降水の有無の予報に対してA、B、Cで表される。
偏西風,専門知識,4,偏西風は、中緯度で西から東へ卓越する風である。上空ではジェット気流を伴い、温帯低気圧やプラネタリー波の移動に関係する。
冬日,専門知識,4,冬日は、日最低気温が0°C未満の日である。日最高気温が0°C未満の真冬日とは異なる。
反射波,専門知識,4,反射波は、送信した電波が降水粒子などで散乱され、レーダーへ戻った波である。強度と位相・周波数の情報を観測に用いる。
周波数,専門知識,4,周波数は、波が1秒間に振動する回数である。レーダーでは送信波と反射波の周波数差からドップラー速度を求める。
土壌雨量指数,専門知識,4,土壌雨量指数は、降った雨が土壌中にどの程度たまっているかをタンクモデルで表した指数である。大雨警報の土砂災害基準や土砂キキクルに使われる。
客観解析,専門知識,4,客観解析は、不規則に分布する観測値と第一推定値からモデル格子上の解析値を作る処理である。品質管理や観測誤差の考慮を伴う。
巻雲,専門知識,4,巻雲は、細い繊維状または羽毛状に見える上層雲で、主に氷晶からなる。ジェット気流や上層の湿潤域に沿って現れることがある。
指定河川洪水予報,専門知識,4,指定河川洪水予報は、国または都道府県と気象庁が共同で、指定河川の洪水のおそれを水位や流量とともに発表する予報である。一般の洪水警報とは対象と発表主体が異なる。
振幅,専門知識,4,振幅は、波の振動の大きさを表す量である。二重偏波レーダーでは水平偏波と垂直偏波の反射波の振幅比から粒子形状を推定する。
日最高気温,専門知識,4,日最高気温は、1日の気温の最高値である。夏日・真夏日・猛暑日の判定は、この値のしきい値で行う。
気塊,専門知識,4,気塊は、水平方向に広く、気温や湿度が比較的一様な空気の集まりである。形成地域の性質に応じて寒気・暖気、乾燥・湿潤などの特徴をもつ。
熱帯低気圧,専門知識,4,熱帯低気圧は、暖かい海上で発達する暖気核をもつ低気圧である。前線を伴わず、積雲対流に伴う潜熱放出を主なエネルギー源とする。
竜巻,専門知識,4,竜巻は、積乱雲などに伴って地表面から雲底まで伸びる強い鉛直渦である。被害域では収束性・回転性の風向分布が現れやすい。
融解層,専門知識,4,融解層は、落下する雪や氷粒子が融け始める0°C付近の層である。レーダーではブライトバンドとして現れることがある。
視程,専門知識,4,視程は、昼間に適切な目標を識別できる最大距離に相当する気象量である。霧、降水、煙霧などで低下する。
鉛直シアー,専門知識,4,鉛直シアーは、風向または風速が高度とともに変化する度合いである。対流系の組織化や温度移流、乱気流の判断に重要である。
雨滴,専門知識,4,雨滴は、雲粒より大きく、落下して地上へ達する液体の降水粒子である。大きくなるほど落下速度が増すが、一定以上では変形や分裂が起こる。
雨量計,専門知識,4,雨量計は、地上に到達した降水量を測る測器である。風による捕捉損失や固体降水の測定条件に注意する。
非静力学モデル,専門知識,4,非静力学モデルは、鉛直加速度を無視せずに計算する数値予報モデルである。積乱雲など鉛直運動の強い小規模現象の表現に適する。
高潮,専門知識,4,高潮は、台風や低気圧による吸い上げと強風による吹き寄せで潮位が高くなる現象である。満潮と重なると浸水被害が大きくなりやすい。
アンテナ,専門知識,3,アンテナは、電波を送信または受信する装置である。気象レーダーではビームを走査し、降水粒子からの反射波を受信する。
コリオリ力,専門知識,3,コリオリ力は、地球の自転する座標系で運動する物体に見かけ上働く力である。北半球では運動方向の右向き、南半球では左向きに働く。
トランスバースライン,専門知識,3,トランスバースラインは、ジェット気流にほぼ直交して並ぶ巻雲列である。強い鉛直シアーや上層の乱気流と関係する。
プリミティブ方程式,専門知識,3,プリミティブ方程式は、運動方程式、連続の式、熱力学方程式、状態方程式などからなる大気の基本方程式系である。数値予報モデルの基礎となる。
ラニーニャ現象,専門知識,3,ラニーニャ現象は、太平洋赤道域中部から東部の海面水温が平年より低い状態が続く現象である。熱帯の対流活動と大気循環を変化させる。
下層雲,専門知識,3,下層雲は、低い高度に雲底をもつ雲の総称である。層雲、層積雲などが含まれ、地表付近の天気に直結しやすい。
中層雲,専門知識,3,中層雲は、中層に雲底をもつ雲の総称である。高積雲と高層雲が含まれ、水滴と氷晶が混在することがある。
予測誤差,専門知識,3,予測誤差は、数値予報の予測値と実況または解析値との差である。一般に予測時間とともに増大し、気象場や初期値誤差にも依存する。
冬型の気圧配置,専門知識,3,冬型の気圧配置は、日本付近で西に高気圧、東に低気圧がある配置である。日本海側の雪や北西季節風、太平洋側の乾燥した晴天をもたらしやすい。
凝結,専門知識,3,凝結は、水蒸気が液体の水へ変化する相変化である。その際には潜熱が放出され、雲粒の生成や発達に関与する。
品質管理,専門知識,3,品質管理は、観測データの誤りや不自然な値を検出し、解析に使えるかを判定する処理である。第一推定値との比較や周辺観測との整合性確認などを行う。
境界値,専門知識,3,境界値は、領域モデルの側面や上端などで外部から与える大気状態である。通常はより広域のモデル予報から作られる。
大雨注意報,専門知識,3,大雨注意報は、大雨による土砂災害や浸水害のおそれがある場合に発表される。警報より低い段階だが、状況の悪化に注意が必要である。
寒帯前線ジェット気流,専門知識,3,寒帯前線ジェット気流は、中高緯度の強い南北温度傾度に対応するジェット気流である。蛇行や強弱が温帯低気圧の発達に関係する。
屈折率,専門知識,3,屈折率は、媒質中で電波や光の進行方向がどの程度曲がるかを表す量である。大気中の鉛直分布が異常伝搬の発生を左右する。
摂動,専門知識,3,摂動は、アンサンブル予報で初期値やモデルへ加える小さな変化である。予測誤差の成長と不確実性の範囲を表現する。
日照時間,専門知識,3,日照時間は、直達日射量が所定の基準以上となった時間の合計である。可照時間とは異なり、雲などの影響を受ける。
暗域,専門知識,3,暗域は、水蒸気画像で相対的に暗く見える領域で、主に上・中層の乾燥空気に対応する。トラフ後面の乾燥侵入などの解析に使う。
最大風速,専門知識,3,最大風速は、通常10分間平均風速の最大値である。台風の強さや暴風域の判定に用いられる。
格子スケール,専門知識,3,格子スケールは、数値予報モデルの格子で直接表現できる空間規模である。格子間隔より十分大きな現象ほど明瞭に表現できる。
梅雨前線,専門知識,3,梅雨前線は、初夏に日本付近へ停滞する前線である。暖湿気の流入や前線上の低気圧によって大雨が発生することがある。
極値,専門知識,3,極値は、一定の統計期間内で最大または最小となった観測値である。同じ値が複数回現れた場合の起日・起時の扱いに規則がある。
気圧の谷,専門知識,3,気圧の谷は、周囲より気圧または等圧面高度が低い領域が細長く延びた部分である。上空の谷の前面では上昇流や地上低気圧の発達が起こりやすい。
氷粒子,専門知識,3,氷粒子は、氷晶、雪結晶、雪片、あられなど固体の水からなる雲・降水粒子の総称である。昇華、雲粒捕捉、集合などで成長する。
減衰,専門知識,3,減衰は、電波が降水などを通過する間にエネルギーを失って弱くなることをいう。強い降水の背後ではレーダーエコーが実際より弱く観測されることがある。
温度計,専門知識,3,温度計は、気温などの温度を測定する測器である。地上観測では日射や地面の影響を避け、通風条件を整える。
物理過程,専門知識,3,物理過程は、放射、雲、降水、乱流、地表面交換などモデル内で扱う現象の総称である。格子で直接表現できない効果はパラメタリゼーションで与える。
異常伝搬,専門知識,3,異常伝搬は、大気の屈折率の鉛直分布によりレーダー電波が通常と異なる経路を進む現象である。地物などが非降水エコーとして映る原因になる。
発雷確率,専門知識,3,発雷確率は、一定期間・領域で雷が発生する確率を予測した値である。雷注意報や対流活動の可能性判断に利用される。
目的変数,専門知識,3,目的変数は、統計的な予測式で予測対象となる変数である。気温、降水確率、発雷確率などが該当する。
真冬日,専門知識,3,真冬日は、日最高気温が0℃未満の日である。日最低気温が0℃未満の冬日とは基準が異なる。
空振り率,専門知識,3,空振り率は、現象ありと予報したのに発生しなかった事例の割合である。問題によって分母の定義が異なる場合がある。
第一推定値,専門知識,3,第一推定値は、データ同化で観測を取り込む前のモデルによる推定場である。短時間予報などが利用され、背景場とも呼ばれる。
系統誤差,専門知識,3,系統誤差は、予測値が継続的に高めまたは低めになるなど一定の傾向をもつ誤差である。ガイダンスによる統計補正の対象となる。
蒸発,専門知識,3,蒸発は、液体の水が水蒸気へ変化する相変化である。周囲から潜熱を奪うため、雨滴や地表面の蒸発は空気を冷却する。
表面雨量指数,専門知識,3,表面雨量指数は、短時間強雨によって地表面にたまる水の危険度を表す指数である。大雨警報の浸水害基準や浸水キキクルに使われる。
解析値,専門知識,3,解析値は、観測データと数値予報の第一推定値を客観解析で組み合わせた大気状態である。次の数値予報の初期値として用いられる。
説明変数,専門知識,3,説明変数は、統計的な予測式で目的変数を説明・予測するために用いる入力変数である。数値予報値などが使われる。
週間天気予報,専門知識,3,週間天気予報は、発表日の翌日から7日先までを対象とする予報である。日別の天気、降水確率、最高・最低気温、信頼度などを示す。
鉛直流,専門知識,3,鉛直流は、空気の上昇または下降という鉛直方向の運動である。雲や降水の形成、断熱昇温・冷却を左右する。
雪片,専門知識,3,雪片は、複数の雪結晶が付着・集合した降水粒子である。融解途中ではレーダー反射が強くなることがある。
雲列,専門知識,3,雲列は、雲が線状または帯状に並んだパターンである。低層の風向、収束線、地形性波動などを推定する手掛かりとなる。
高層気象観測,専門知識,3,高層気象観測は、上空の気圧、気温、湿度、風などを測る観測である。ラジオゾンデ、ウィンドプロファイラなどが利用される。
4次元変分法,専門知識,2,4次元変分法は、一定時間内の観測とモデルを用いて初期値を最適化するデータ同化手法である。観測時刻の違いを考慮できる。
Ciストリーク,専門知識,2,Ciストリークは、衛星画像で強風軸に沿って延びる帯状の巻雲域である。上空のジェット気流の位置を推定する手掛かりとなる。
GPSゾンデ,専門知識,2,GPSゾンデは、GPSで得た位置と高度の情報を利用するラジオゾンデである。位置の時間変化から上空の風向・風速を求める。
にんじん状の雲,専門知識,2,にんじん状の雲は、衛星画像で先端が細く後方へ広がる形をした対流雲域である。発達した積乱雲群や激しい気象現象を伴うことがある。
スプレッド,専門知識,2,スプレッドは、アンサンブルメンバーの予測値のばらつきを表す。一般に大きいほど予測の不確実性が大きい。
タンクモデル,専門知識,2,タンクモデルは、流域を複数の貯留槽として表し、雨水の浸透や流出を計算する概念モデルである。土壌雨量指数や流域雨量指数の算出に用いる。
ダウンバースト,専門知識,2,ダウンバーストは、積乱雲からの強い下降気流が地面へ衝突して放射状に広がる突風である。被害域の風向分布は発散的になりやすい。
データ同化,専門知識,2,データ同化は、観測値とモデルの推定値を統計的・力学的に組み合わせて解析場を作る手法である。数値予報の初期値作成に用いる。
ドップラー速度,専門知識,2,ドップラー速度は、レーダーから見た降水粒子の視線方向速度である。レーダーに直交する風成分は直接測れない。
ニューラルネットワーク,専門知識,2,ニューラルネットワークは、多数の結合と非線形変換を用いて入力と出力の関係を学習する手法である。天気予報ガイダンスにも利用される。
バルジ,専門知識,2,バルジは、衛星画像で前線性雲域が極側へ膨らむ形状である。上空の発散や低気圧の発達に対応して現れることが多い。
ブライアスコア,専門知識,2,ブライアスコアは、確率予報値と実況値との差の二乗を平均した指標である。値が0に近いほど確率予報の精度が高い。
ブライトバンド,専門知識,2,ブライトバンドは、融解層で雪片が水膜に覆われ、レーダー反射が強くなる現象である。降水量を実際より大きく推定する原因になる。
ブロッキング,専門知識,2,ブロッキングは、偏西風の大きな蛇行が長期間維持され、移動性高低気圧の進行を妨げる現象である。高温、低温、少雨、多雨の持続要因となる。
メソサイクロン,専門知識,2,メソサイクロンは、発達した積乱雲内に形成される数km規模の低気圧性回転である。ドップラーレーダーの接近・離反速度の対として検出される。
メソ解析,専門知識,2,メソ解析は、日本周辺を対象に高解像度で大気の解析場を作る処理である。レーダーや解析雨量などメソスケール現象に有効な観測も同化する。
ユーラシアパターン,専門知識,2,ユーラシアパターンは、ユーラシア大陸上に現れる大規模な気圧偏差の波列パターンである。冬季の寒気や気温、降雪の変動に関係する。
レーダーエコー,専門知識,2,レーダーエコーは、送信電波が降水粒子などで散乱されて戻った受信信号である。強度は粒径、粒子数、相などに依存する。
下降流域,専門知識,2,下降流域は、鉛直流が下向きとなっている領域である。晴天域や高気圧、積乱雲内の冷気外出流などと結び付くことがある。
予報円,専門知識,2,予報円は、予報時刻に台風の中心が入ると予想される範囲を円で示したものである。円の大きさは台風の大きさではなく進路予報の不確実性を表す。
予測範囲,専門知識,2,予測範囲は、週間天気予報の気温予報などで、実況値が一定の確率で入ると見込まれる幅である。一つの予報値だけでは表せない不確実性を示す。
二重偏波気象レーダー,専門知識,2,二重偏波気象レーダーは、水平偏波と垂直偏波を用いて降水粒子の形状や種類に関する情報を得る。降水量推定や雨・雪の判別改善に役立つ。
亜熱帯ジェット気流,専門知識,2,亜熱帯ジェット気流は、ハドレー循環の極側上空に形成される強い西風帯である。一般に寒帯前線ジェットより高高度・低緯度側に位置する。
位相差,専門知識,2,位相差は、二つの波の振動位置のずれを角度で表した量である。二重偏波レーダーでは偏波間位相差の変化から降水強度を推定できる。
傾度風,専門知識,2,傾度風は、曲率をもつ流れで気圧傾度力、コリオリ力、遠心力が釣り合った風である。低気圧性と高気圧性の循環で地衡風との大小関係が異なる。
全球解析,専門知識,2,全球解析は、全球を対象に観測データと第一推定値から大気の解析場を作る処理である。全球モデルの初期値に用いられる。
分割表,専門知識,2,分割表は、現象の発生・非発生について予報と実況の組み合わせを整理した表である。適中率、捕捉率、空振り率などを計算する基礎となる。
分解能,専門知識,2,分解能は、観測やモデルが識別・表現できる空間または時間の細かさである。数値予報では格子間隔を小さくすると一般に水平分解能が高くなる。
